Year,SumPcpn,SumEGDD_C,SumHeatD,SumFrostD,AvgSI,AvgPrcnAWHC,NDVI,Yield,Area
1987_18_20,1.2444444444444456,69.88333333333337,0.0,0.33333333333333304,0.6747619047619043,0.5503174603174604,0.18547782593633302,25.7,3852.0
1987_19_21,1.0444444444444456,56.838888888888896,0.0,0.9999999999999988,0.6617460317460314,0.5082539682539684,0.218116337263,25.7,3852.0
1987_20_22,8.466666666666677,53.63333333333333,0.0,0.8888888888888878,0.6228571428571427,0.49238095238095275,0.253471393897333,25.7,3852.0
1987_21_23,8.344444444444456,57.583333333333336,0.22222222222222232,0.7777777777777768,0.5615873015873015,0.47746031746031775,0.291151710587,25.7,3852.0
1987_22_24,10.566666666666679,79.83888888888877,0.9999999999999991,0.0,0.4387301587301586,0.45333333333333364,0.320025231160333,25.7,3852.0
1987_23_25,6.17777777777778,92.96666666666665,1.5555555555555556,0.0,0.3685714285714283,0.38126984126984137,0.334934466019333,25.7,3852.0
1987_24_26,8.68888888888889,93.44444444444446,1.5555555555555554,0.0,0.351428571428571,0.3026984126984127,0.33186366736,25.7,3852.0
1987_25_27,6.31111111111111,88.2000000000001,1.0000000000000007,0.0,0.4098412698412697,0.22857142857142834,0.325355299352667,25.7,3852.0
1987_26_28,4.155555555555554,77.13888888888887,0.44444444444444403,0.0,0.48047619047619033,0.166190476190476,0.321161829634667,25.7,3852.0
1987_27_29,7.866666666666643,77.7444444444444,0.7777777777777786,0.0,0.5874603174603173,0.1238095238095237,0.322482189089333,25.7,3852.0
1987_28_30,13.35555555555551,78.53333333333335,1.0,0.0,0.5658730158730156,0.1215873015873017,0.322403097549667,25.7,3852.0
1987_29_31,20.022222222222165,94.19999999999989,2.0,0.0,0.49412698412698414,0.1436507936507937,0.31691851595,25.7,3852.0
1987_30_32,13.822222222222189,94.14444444444437,1.5555555555555545,0.0,0.442857142857143,0.15222222222222234,0.30343144937566696,25.7,3852.0
1987_31_33,18.09999999999999,82.9277777777777,1.111111111111111,0.11111111111111101,0.5320634920634922,0.15142857142857133,0.270481079519,25.7,3852.0
