CAR,# of missing year
1100,0
1200,0
1300,0
2401,20
2402,20
2403,20
2404,21
2405,21
2406,21
2407,21
2408,20
2409,20
2410,20
2411,20
3501,0
3502,0
3503,0
3504,0
3505,0
4601,0
4602,0
4603,0
4604,0
4605,3
4606,0
4607,0
4608,0
4609,0
4610,3
4611,0
4612,0
4701,0
4702,0
4703,0
4704,0
4705,0
4706,0
4707,0
4708,0
4709,0
4710,0
4711,0
4712,0
4713,0
4714,0
4715,0
4716,0
4717,0
4810,0
4820,0
4830,0
4840,0
4841,0
4850,0
4860,0
4870,0
5901,4
5908,4
