CARUID,R_squared,MAPE,MEI
1300,0.9878505237670949,3.069254256940982,0.8069192177911091
4601,0.8928228208834695,13.739858256312765,0.7616264729922091
3500,0.6600302347268064,6.648624504275326,0.534328880807688
2400,0.7946839079686411,3.618721136278249,0.5926594025042515
4603,0.8905513284822675,10.417340061702637,0.6777995817929778
4604,0.9126852472545496,8.89143826194272,0.6636263803108187
4602,0.8257037888987517,15.702600304345301,0.5405022056061296
4606,0.7127851501764118,8.550989580132422,0.5905332859546362
4607,0.8406364469386292,9.316940664628213,0.7726803740201438
4605,0.8360192569084715,9.632082550988406,0.725758558270436
4608,0.8946808707276908,14.370673348679677,0.6847550971187462
4611,0.7182721628081168,14.271479645051702,0.6937474464292858
4610,0.8047828145994919,20.372388884592,0.3519989317433032
4609,0.7937848223919589,29.34014705188001,0.07734023325127037
4612,0.8678716849442224,11.573360317274863,0.5271666831678972
4701,0.8091699937375773,10.626483329745488,0.7566837083759709
4702,0.7698951625485743,15.81929647649356,0.5615944485271434
4704,0.6731999127957765,15.378861223905565,0.5236298241754914
4703,0.7803496399364398,13.238937808091599,0.7776757839313235
4705,0.9170439649146478,14.93200752922586,0.5927458694000545
4708,0.8316059411666094,11.174861382515184,0.8049494651528736
4707,0.9008900191276838,10.40625275030326,0.8514447706939328
4709,0.8892708644170054,11.381700994139823,0.6604108525098478
4706,0.8920457086381328,15.574272517374727,0.45072365637816103
4712,0.7797054019100284,12.616411069322892,0.7599466416018633
4710,0.9277606643483579,14.545078368580661,0.49425752983539994
4711,0.8224585442341831,11.411420583414838,0.7537527105453052
4715,0.7356729095818,13.050327229954878,0.46954464755390124
4713,0.8739096525901668,12.912930813876663,0.7895013291678425
4714,0.8886970838257194,13.398456322025169,0.6171404874022137
4716,0.8675958622593785,16.968616445301304,0.6252985247932725
4717,0.8671046913293354,25.402029806539776,0.45736122226897
4810,0.7945807032589793,12.012717469971086,0.7096142464589867
4820,0.9374281924707716,6.47519116221738,0.887248201634337
4840,0.8698174067981288,9.544149064079697,0.8415687269427963
4830,0.9405175053957412,17.533248720716912,0.5167523346548908
4850,0.900508787721825,16.29794702462351,0.15825754185529395
4860,0.9144809920914427,7.068917063905689,0.8765650746764878
4841,0.8259010832377208,16.46304957379824,0.5524417787578173
5908,0.9020761132924902,24.343963252720428,0.006647191630455351
4870,0.8908248795517096,5.880282500557981,0.8899080236926431
5901,0.5826782121156362,12.85048810130916,0.5589629227874563
