Year,SumPcpn,SumEGDD_C,SumHeatD,SumFrostD,AvgSI,AvgPrcnAWHC,NDVI,Yield,Area
1987_18_20,5.516666666666669,52.47619047619046,0.07142857142857133,1.8333333333333333,0.652108843537415,0.7207653061224489,0.265938055846333,59.8,1128000.0
1987_19_21,11.505952380952388,38.175,0.07142857142857133,3.07142857142857,0.6054421768707483,0.741887755102041,0.310398036577667,59.8,1128000.0
1987_20_22,13.575000000000008,39.724404761904765,0.0,2.7380952380952372,0.552874149659864,0.7495408163265308,0.349307004867333,59.8,1128000.0
1987_21_23,13.151190476190484,47.3458333333333,0.0,2.0357142857142847,0.5149319727891156,0.7465646258503401,0.3862669540376671,59.8,1128000.0
1987_22_24,8.15238095238095,69.55595238095235,0.0,0.32142857142857134,0.48829931972789103,0.7002891156462584,0.425720242189,59.8,1128000.0
1987_23_25,12.92976190476189,76.83452380952374,0.0,0.13095238095238068,0.37833333333333297,0.654642857142857,0.470267563662,59.8,1128000.0
1987_24_26,13.877380952380934,78.0690476190476,0.0,0.035714285714285664,0.259251700680272,0.5962755102040816,0.5043366023820001,59.8,1128000.0
1987_25_27,18.141666666666666,74.64166666666667,0.011904761904761899,0.035714285714285664,0.18447278911564632,0.526122448979592,0.529364047108667,59.8,1128000.0
1987_26_28,17.76904761904763,67.76666666666667,0.011904761904761899,0.04761904761904756,0.176921768707483,0.48358843537414997,0.5437607082936671,59.8,1128000.0
1987_27_29,22.4202380952381,66.40238095238091,0.0357142857142857,0.011904761904761899,0.15988095238095232,0.4473979591836736,0.5581978272786671,59.8,1128000.0
1987_28_30,21.283333333333335,69.27738095238094,0.047619047619047596,0.011904761904761899,0.12646258503401334,0.4391326530612247,0.566911657613667,59.8,1128000.0
1987_29_31,27.49166666666667,81.56428571428576,0.5833333333333343,0.0,0.12085034013605434,0.417840136054422,0.537828062656667,59.8,1128000.0
1987_30_32,33.104761904761936,84.2494047619048,0.5595238095238105,0.0,0.09865646258503391,0.464540816326531,0.458114167538667,59.8,1128000.0
1987_31_33,31.232142857142872,68.60654761904763,0.5357142857142867,0.23809523809523805,0.07168367346938777,0.5134693877551023,0.346651161941,59.8,1128000.0
1987_32_34,22.964285714285733,52.20178571428567,0.0,0.2738095238095237,0.04656462585034013,0.5545068027210887,0.256051995814333,59.8,1128000.0
1987_33_35,14.116666666666667,45.36488095238093,0.0,0.5119047619047618,0.09113945578231292,0.5346938775510203,0.21893076028666697,59.8,1128000.0
1987_34_36,18.0202380952381,55.63273809523803,0.011904761904761899,0.2738095238095237,0.15117346938775503,0.525391156462585,0.275177056859667,59.8,1128000.0
1987_35_37,13.524999999999991,59.35773809523806,0.011904761904761899,0.5714285714285714,0.24933673469387738,0.5203231292517007,0.35764075679799995,59.8,1128000.0
1987_36_38,9.80119047619047,55.541666666666636,0.011904761904761899,1.3571428571428565,0.37042517006802705,0.514013605442177,0.420505805551333,59.8,1128000.0
1988_18_20,1.8035714285714304,49.14285714285713,0.1785714285714287,2.3809523809523827,0.7547789115646255,0.4359183673469387,0.260222341821333,70.7,1032000.0
1988_19_21,3.9440476190476192,63.34464285714284,0.1785714285714287,1.3095238095238104,0.7415136054421766,0.4043367346938773,0.288341014268667,70.7,1032000.0
1988_20_22,10.014285714285746,60.54345238095237,0.1785714285714287,1.0833333333333341,0.679421768707483,0.39972789115646234,0.318935243600333,70.7,1032000.0
1988_21_23,30.54404761904766,61.748809523809534,0.0,0.29761904761904767,0.568622448979592,0.4781632653061223,0.364485043437667,70.7,1032000.0
1988_22_24,29.659523809523858,65.81845238095241,0.0,0.0,0.39170068027210897,0.5737074829931973,0.43496564508900004,70.7,1032000.0
1988_23_25,27.330952380952386,74.49345238095235,0.0,0.0,0.2502721088435377,0.6099489795918368,0.495185430474667,70.7,1032000.0
1988_24_26,17.69404761904762,80.010119047619,0.0,0.0,0.16232993197278933,0.571683673469388,0.534548595538333,70.7,1032000.0
1988_25_27,38.63095238095237,75.34345238095233,0.0,0.0,0.13267006802721112,0.5937074829931973,0.5455157455856671,70.7,1032000.0
1988_26_28,41.59166666666667,68.89642857142859,0.0,0.0,0.0774489795918368,0.6529421768707483,0.564834675503667,70.7,1032000.0
1988_27_29,30.971428571428564,71.69702380952384,0.3095238095238097,0.011904761904761899,0.026207482993197265,0.6569727891156464,0.584751907775667,70.7,1032000.0
1988_28_30,11.947619047619057,79.01666666666667,0.6071428571428573,0.011904761904761899,0.03880952380952383,0.546887755102041,0.5983692862243329,70.7,1032000.0
1988_29_31,13.052380952380958,79.41309523809527,0.6071428571428573,0.011904761904761899,0.08392857142857146,0.4333843537414967,0.59551552632,70.7,1032000.0
1988_30_32,17.994047619047624,75.5863095238095,0.29761904761904767,0.0,0.12583333333333332,0.37360544217687064,0.582725800235667,70.7,1032000.0
1988_31_33,33.778571428571404,68.27976190476194,0.0,0.0,0.11972789115646254,0.414795918367347,0.564662467400667,70.7,1032000.0
1988_32_34,24.258333333333297,70.54880952380954,0.0,0.0,0.12863945578231287,0.469625850340136,0.546265091942,70.7,1032000.0
1988_33_35,19.642857142857107,74.56547619047623,0.14285714285714265,0.0,0.24852040816326518,0.49784013605442173,0.520787367319333,70.7,1032000.0
1988_34_36,7.909523809523805,67.7434523809524,0.2976190476190473,0.6428571428571433,0.41726190476190467,0.4870748299319727,0.48914093121366703,70.7,1032000.0
1988_35_37,15.782142857142873,56.670238095238126,0.2976190476190473,1.1547619047619033,0.551751700680272,0.5029421768707483,0.45528922941466704,70.7,1032000.0
1988_36_38,20.854761904761933,30.032142857142883,0.15476190476190466,3.035714285714283,0.5720408163265307,0.5834013605442175,0.4098185960366671,70.7,1032000.0
1989_18_20,19.30238095238095,40.525,0.0,2.464285714285713,0.6227210884353743,0.699829931972789,0.248168023786667,57.5,1099700.0
1989_19_21,21.066666666666652,30.923214285714298,0.0,3.5833333333333335,0.5812244897959183,0.757517006802721,0.290183609906667,57.5,1099700.0
1989_20_22,19.96785714285713,34.18154761904763,0.0,3.190476190476191,0.5332823129251697,0.7984183673469386,0.330602589658,57.5,1099700.0
1989_21_23,11.938095238095228,49.00595238095237,0.142857142857143,2.2500000000000013,0.5020408163265303,0.8036224489795917,0.371027506187667,57.5,1099700.0
1989_22_24,12.260714285714293,69.73988095238097,0.142857142857143,0.3333333333333333,0.45017006802721066,0.7667517006802721,0.41710834371533295,57.5,1099700.0
1989_23_25,16.88690476190477,66.13154761904762,0.142857142857143,0.0357142857142857,0.3546938775510204,0.7404421768707484,0.4665731017756671,57.5,1099700.0
1989_24_26,20.907142857142833,62.00833333333336,0.0,0.0357142857142857,0.24073129251700667,0.7379761904761906,0.514979540207,57.5,1099700.0
1989_25_27,30.276190476190433,61.4125,0.0,0.023809523809523798,0.15688775510204067,0.7269557823129252,0.553297121310333,57.5,1099700.0
1989_26_28,34.77142857142853,72.57023809523804,0.0,0.0,0.10358843537414958,0.756530612244898,0.588398505008333,57.5,1099700.0
1989_27_29,27.029761904761894,81.66071428571423,0.011904761904761899,0.0,0.06579931972789108,0.7268707482993197,0.609526012857,57.5,1099700.0
1989_28_30,17.535714285714292,89.46249999999998,0.04761904761904756,0.0,0.03877551020408163,0.6723469387755103,0.609105097922,57.5,1099700.0
1989_29_31,18.499999999999993,89.89702380952387,0.04761904761904756,0.0,0.031054421768707468,0.5820238095238097,0.5879114532983329,57.5,1099700.0
1989_30_32,16.40119047619047,92.9041666666667,0.035714285714285664,0.0,0.057619047619047625,0.5008333333333334,0.557602905267667,57.5,1099700.0
1989_31_33,24.24047619047617,86.50654761904764,0.0,0.0,0.09870748299319738,0.47107142857142864,0.5281194548266671,57.5,1099700.0
1989_32_34,16.579761904761906,77.0845238095238,0.0,0.0,0.15715986394557835,0.44671768707483,0.5070939818276671,57.5,1099700.0
1989_33_35,23.371428571428567,56.473809523809535,0.0,0.13095238095238096,0.2070578231292517,0.46889455782312967,0.494591711101333,57.5,1099700.0
1989_34_36,16.48333333333333,42.333333333333336,0.0,0.6547619047619043,0.26096938775510203,0.4968367346938776,0.48378902343833297,57.5,1099700.0
1989_35_37,14.020238095238094,35.7988095238095,0.0,1.1666666666666679,0.37836734693877566,0.5202040816326533,0.451390699490333,57.5,1099700.0
1989_36_38,6.338095238095241,35.65178571428567,0.0,1.7976190476190501,0.5008673469387757,0.5236904761904763,0.40362902277400003,57.5,1099700.0
1990_18_20,8.114285714285716,20.317857142857136,0.0,4.9642857142857135,0.5777551020408164,0.8040816326530612,0.25926155379500004,63.0,1093000.0
1990_19_21,16.483333333333334,29.766071428571433,0.0,3.9285714285714293,0.5696598639455783,0.8211734693877553,0.300744029169,63.0,1093000.0
1990_20_22,20.223809523809532,46.548214285714266,0.0,1.6428571428571421,0.5589965986394559,0.8352040816326533,0.34855839604,63.0,1093000.0
1990_21_23,26.20000000000003,57.113095238095234,0.0,0.20238095238095236,0.5316496598639456,0.8597108843537415,0.4008185462033329,63.0,1093000.0
1990_22_24,30.288095238095263,53.93035714285713,0.0,0.19047619047619035,0.5083843537414966,0.862959183673469,0.45694491453633296,63.0,1093000.0
1990_23_25,25.477380952380965,62.88511904761907,0.023809523809523798,0.19047619047619035,0.4644897959183673,0.8428571428571425,0.5061540622249999,63.0,1093000.0
1990_24_26,23.099999999999994,71.01190476190474,0.023809523809523798,0.19047619047619035,0.39265306122449,0.8064965986394556,0.545709920101333,63.0,1093000.0
1990_25_27,41.80357142857143,74.12738095238093,0.023809523809523798,0.011904761904761899,0.319387755102041,0.8212074829931972,0.5746152323053331,63.0,1093000.0
1990_26_28,41.98333333333334,79.2595238095238,0.29761904761904767,0.011904761904761899,0.22814625850340167,0.8143197278911564,0.597285275992,63.0,1093000.0
1990_27_29,38.65357142857144,72.34940476190481,0.29761904761904767,0.011904761904761899,0.1569387755102043,0.7930102040816326,0.613249484227667,63.0,1093000.0
1990_28_30,9.919047619047635,81.16547619047627,0.29761904761904767,0.0,0.10091836734693883,0.6806632653061224,0.618520217272,63.0,1093000.0
1990_29_31,9.322619047619066,79.517261904762,0.11904761904761903,0.0,0.11658163265306117,0.5748639455782314,0.615568362651667,63.0,1093000.0
1990_30_32,6.489285714285722,93.58571428571436,0.47619047619047566,0.0,0.17477891156462588,0.45642857142857135,0.599358751515667,63.0,1093000.0
1990_31_33,9.888095238095223,91.40059523809526,0.47619047619047566,0.0,0.22511904761904766,0.36901360544217704,0.566101396986667,63.0,1093000.0
1990_32_34,12.844047619047588,78.98571428571427,0.3571428571428567,0.2261904761904763,0.24423469387755103,0.3179931972789117,0.5330652082193329,63.0,1093000.0
1990_33_35,17.916666666666632,65.23630952380951,0.0,0.2500000000000001,0.263860544217687,0.312687074829932,0.509681555124,63.0,1093000.0
1990_34_36,11.861904761904745,59.51785714285714,0.0,0.26190476190476203,0.304795918367347,0.30909863945578203,0.5024944452753329,63.0,1093000.0
1990_35_37,8.878571428571425,62.782142857142865,0.0,0.25,0.39343537414966007,0.29770408163265266,0.484901775718333,63.0,1093000.0
1990_36_38,3.05595238095238,60.28928571428573,0.011904761904761899,0.5238095238095238,0.485187074829932,0.27360544217687033,0.45850672414099997,63.0,1093000.0
1991_18_20,24.683333333333355,32.56190476190478,0.0,2.928571428571427,0.6203911564625849,0.6489285714285716,0.277145524160667,61.5,1073400.0
1991_19_21,30.703571428571433,41.8125,0.0,1.059523809523811,0.5856462585034014,0.7357312925170071,0.33342165412533303,61.5,1073400.0
1991_20_22,21.476190476190467,46.488095238095234,0.0,0.47619047619047766,0.5510034013605439,0.8070238095238097,0.390584726167333,61.5,1073400.0
1991_21_23,19.869047619047603,47.47619047619046,0.0,0.4880952380952397,0.5446938775510204,0.8085204081632654,0.443084794272667,61.5,1073400.0
1991_22_24,21.994047619047603,54.59761904761907,0.0,0.08333333333333347,0.5156292517006803,0.8292346938775514,0.483292259265,61.5,1073400.0
1991_23_25,29.717857142857138,53.54880952380953,0.0,0.08333333333333347,0.4702551020408167,0.8602551020408163,0.513737725287,61.5,1073400.0
1991_24_26,27.394047619047637,59.759523809523806,0.0,0.023809523809523798,0.39132653061224504,0.8883673469387753,0.5375520091026671,61.5,1073400.0
1991_25_27,28.813095238095233,67.58571428571427,0.0,0.0,0.2949319727891157,0.8768027210884349,0.579633293466667,61.5,1073400.0
1991_26_28,19.56666666666666,78.87321428571427,0.07142857142857133,0.0,0.21401360544217665,0.8260884353741496,0.614435881463667,61.5,1073400.0
1991_27_29,16.155952380952357,79.79761904761907,0.07142857142857133,0.0,0.15620748299319734,0.7312244897959186,0.630963739805,61.5,1073400.0
1991_28_30,8.992857142857154,83.38095238095242,0.107142857142857,0.0,0.14426870748299334,0.6200510204081636,0.622254430989667,61.5,1073400.0
1991_29_31,9.920238095238107,79.98273809523813,0.08333333333333333,0.0,0.14585034013605466,0.5116326530612246,0.606583829172333,61.5,1073400.0
1991_30_32,12.95119047619051,90.07976190476207,0.75,0.0,0.18712585034013599,0.421751700680272,0.5863438464476669,61.5,1073400.0
1991_31_33,20.938095238095276,93.2077380952383,0.9761904761904763,0.0,0.17221088435374135,0.41462585034013566,0.558086859022,61.5,1073400.0
1991_32_34,21.71785714285717,93.8714285714288,0.9285714285714285,0.0,0.15819727891156435,0.40984693877551,0.529631954618333,61.5,1073400.0
1991_33_35,15.407142857142851,84.6440476190477,0.4166666666666666,0.023809523809523798,0.155799319727891,0.40568027210884333,0.5055894835633329,61.5,1073400.0
1991_34_36,7.853571428571413,69.35119047619042,0.15476190476190466,0.13095238095238082,0.2597108843537413,0.3360204081632654,0.49191311938333293,61.5,1073400.0
1991_35_37,6.447619047619047,56.42142857142849,0.15476190476190466,1.035714285714284,0.3652551020408163,0.2904931972789114,0.474425946413,61.5,1073400.0
1991_36_38,7.320238095238093,38.023214285714225,0.0,2.416666666666664,0.4940816326530613,0.276360544217687,0.44598357336266703,61.5,1073400.0
1992_18_20,8.40595238095239,36.3958333333333,0.0,3.047619047619047,0.6316666666666667,0.6175,0.27164371023733297,61.9,934000.0
1992_19_21,12.295238095238119,25.355357142857134,0.0,4.154761904761903,0.579081632653061,0.6334523809523808,0.314142000963333,61.9,934000.0
1992_20_22,16.211904761904787,28.26250000000003,0.0,3.5119047619047605,0.5215136054421766,0.6568537414965984,0.34930666766333307,61.9,934000.0
1992_21_23,19.277380952380966,39.60476190476193,0.0,1.82142857142857,0.48039115646258496,0.6903231292517003,0.378786500224,61.9,934000.0
1992_22_24,20.29404761904763,59.010119047619035,0.023809523809523798,0.0,0.4245408163265307,0.6977380952380949,0.41458016976433293,61.9,934000.0
1992_23_25,13.367857142857146,68.58095238095237,0.023809523809523798,0.0,0.32709183673469366,0.665816326530612,0.465563694955,61.9,934000.0
1992_24_26,8.409523809523824,79.41845238095242,0.20238095238095247,0.0,0.2632142857142857,0.5670068027210884,0.5177429461303329,61.9,934000.0
1992_25_27,6.748809523809523,74.35059523809527,0.1785714285714287,0.0,0.2706292517006803,0.45518707482993204,0.553018900018333,61.9,934000.0
1992_26_28,15.391666666666643,67.56011904761907,0.1785714285714287,0.07142857142857133,0.270119047619048,0.4004251700680273,0.564761641833333,61.9,934000.0
1992_27_29,20.515476190476168,60.21607142857143,0.0,0.07142857142857133,0.23022108843537428,0.3844727891156463,0.5661675852563329,61.9,934000.0
1992_28_30,17.849999999999977,68.21904761904767,0.0,0.07142857142857133,0.18943877551020435,0.3654591836734693,0.569852811415333,61.9,934000.0
