CARUID,R_squared,MAPE,MEI
2400,0.5640757451269677,9.620945884360186,0.24786197243251074
3500,0.5389167924336464,7.625909112073664,0.5229409947058639
4601,0.6794043937677835,6.093238075094698,0.6511783658534472
4602,0.5581413434399798,7.426348192444871,0.4530724830341196
4603,0.39264820921437127,8.812112453278559,0.31132972084795996
4604,0.40424963996770347,8.303752533954981,0.40368536248481346
4605,0.5431885570409074,7.66478475966835,0.5052370890523268
4606,0.630344181866696,6.781074807864451,0.5714231446200289
4607,0.7249405606143342,6.444963402742341,0.5479546905154715
4608,0.14219366818759158,8.69817480961961,0.0968514124979879
4609,0.28756382096824157,9.101540168395697,0.042250112505387905
4610,0.6223079466301195,7.015076884710132,0.5868595853404557
4611,0.01030463525870275,12.391001077587442,-0.6138891388946239
4612,0.29875567851125423,7.568553954966155,0.24831277233177007
4701,0.5455508208849125,8.249070713527658,0.48282844433922556
4702,0.6915945960833488,7.303998496512075,0.5697179127666303
4703,0.21269295444340877,15.113472826369994,-1.3347018087896392
4704,0.29455328492678057,11.619917328998755,-0.20125982924339403
4705,0.004881006579213099,12.20139071984751,-0.6358708960892443
4706,0.06132997940694465,10.717369192483048,-0.18245236550955557
4707,0.6657120074170662,6.680120326994373,0.5739088019265488
4708,0.7998586969698149,6.306392296829176,0.5758524492741572
4709,0.053363690742634765,10.067474532782215,-0.08812673373727353
4710,0.03562703486202486,10.689611364521351,-0.10379547384833199
4711,0.36785207358939304,9.282420188710297,0.1277983272111649
4712,0.7126799220621798,5.60011506193811,0.6998829865843121
4713,0.44746345389486364,7.286511198182601,0.43763744326924536
4714,0.43969408750036343,7.8357930830040985,0.4348425728259875
4715,0.21331863394748912,9.733883459585474,0.1650309530838323
4716,0.3034085061845586,7.785370048465244,0.23559711322558263
4717,0.11121886208947997,10.815648947478921,-0.4421913659382939
4810,0.4556413212276755,6.704564915800281,0.42156731637109246
4820,0.5170545586457628,9.90043607520865,0.11060437905010279
4830,0.2621327072668477,10.354093307150537,-0.07702669816318286
4840,0.5285246952523781,7.463749067451395,0.5179590322601828
4841,0.46328224288002423,7.059331071159749,0.4411758913745254
4850,0.7344865457690659,5.578258069149995,0.7335488098582936
4860,0.8789046462670592,4.535083155338,0.8101200627236153
4870,0.8164273333449447,6.042884707560674,0.6995675851307199
5908,0.2773519714186443,8.307615617482899,0.25974549457923723
