CARUID,R_squared,MAPE,MEI,RMSE
1100,0.7328017684509952,5.669727110651652,0.6710714965783995,4.006834080527753
1200,0.5853926565463591,8.833859827199598,0.3401378662291141,5.841031372429658
1300,0.5807952905327316,7.37420071649722,0.5162077849835012,5.407587335282221
2401,0.471784531734642,5.084354781944999,0.3795920107241254,4.041932037375341
2402,0.6507984617090737,8.579957181219523,0.5546481638725672,5.831702388341554
2403,0.5960720181928025,5.729751688529978,0.5029459577228266,5.051545058485644
2404,0.6761745432942126,6.66120744106575,0.6418087694585934,3.978460394492026
2405,0.11425825081608507,16.250149720142755,-0.6081809952332995,11.483984406706266
2406,0.0902989191900758,43.933223669504045,-3.547024682969017,23.65046855774664
2407,0.7196242537170671,4.431172222498744,0.5863778877842192,2.812973657315375
2408,0.3723744126612836,9.81718199719699,0.22941534873566094,6.671736658046629
2409,0.21492752975021065,7.722296939881364,0.03204849835964274,7.3671365997137235
2410,0.6940749234776417,5.374757565232184,0.6188525005163783,4.29591565183946
2411,0.3289551525201355,9.027560968088773,0.302650892380254,6.723347905153811
3501,0.41488022106774963,20.41401034528964,-0.6607068475088744,15.51074368900846
3502,0.5476531746034999,6.228013152692438,0.30545121353163884,4.992587874430708
3503,0.19049316137085806,9.926798929057943,-0.29110287525120815,7.050131520937902
3504,0.5372461803474617,5.92021706525623,0.32480565313594,4.7763982207047215
3505,0.548420254923483,4.963647676352398,0.4784417242702881,3.945815255301973
4601,0.5840207281480039,14.180878371728529,0.26392355380615773,10.409316645818684
4602,0.6123520604468681,13.138046449540102,0.25481744293370634,10.40576600035702
4603,0.4064572275248351,12.943972677587496,0.33397471250471433,9.855978909652007
4604,0.6238858741718248,12.218863472964895,-0.10435400569964792,8.993012150243242
4605,0.7055175230891768,9.714189904147611,0.6183276845242955,7.136373763963907
4606,0.4388727191630783,10.389999826843646,0.35970245767268005,7.482404851887405
4607,0.8746890058295849,8.775784258230887,0.7560687470998941,6.529660991175886
4608,0.7830058007387214,10.749162586812206,0.6535694561640965,7.9156343321570635
4609,0.780969232635849,14.416466529881648,0.6815244746318194,9.52946923669681
4610,0.07666139531563869,50.75515269405992,-2.0961764506726106,28.55000677761895
4611,0.7582469554430157,18.290107252609854,0.13842062776119068,13.112485273458582
4612,0.8018740626982701,11.617377554086419,0.5331369233928648,8.25235142995262
4701,0.5688470555684716,12.880434255682202,0.2839884240496857,10.17772171522508
4702,0.7477568596032929,10.646792837650937,0.7016392649084149,5.498968541365937
4703,0.6016699442214907,13.308790426275404,0.5869842019539557,6.365148887164708
4704,0.6282026522262983,14.62255430991396,0.5407775946374187,6.744936821310119
4705,0.6055425373616052,9.518595898568787,0.48263350343604805,7.559194037209281
4706,0.7972993591483861,6.8425653909758894,0.7619398427861089,4.619379564808692
4707,0.7639097042311243,11.339805666457915,0.7128898932367779,5.774416124546761
4708,0.7432466460511895,11.434556076223258,0.5876508343158027,6.792851083048867
4709,0.6940369935646339,12.611197241623076,0.43263729728770983,8.530700287644107
4710,0.7234891207961264,13.612419307289434,0.20879088076271302,9.514330750147739
4711,0.9387916777908714,5.28323979326837,0.924930887367668,3.1121482201679638
4712,0.7839258436399387,10.519311940998541,0.7780203507764583,5.6101925144895874
4713,0.7722162047453605,9.52061349412314,0.7584819425394739,5.8633825505903685
4714,0.6526960446377222,11.92792357149314,0.43117639588184087,8.832664932497439
4715,0.8612728809820724,10.743800167170871,0.6823426822985156,7.116849464330941
4716,0.7275343859940632,11.610750286665363,0.4336973492858992,7.924960722030614
4717,0.8713683791173453,14.28852360116937,0.5708562061318964,9.024744566091877
4810,0.7026832809570377,11.071369500339125,0.6144818613127185,5.635613395309892
4820,0.7594303115987228,5.706526943787351,0.7209473910166434,4.961514605712663
4830,0.8829032392608717,5.435865719414247,0.8271758333566418,4.435032532955725
4840,0.8266330412708798,9.509212067639062,0.8070394691661907,5.443937483249625
4841,0.9163784920677711,6.030889778268867,0.8589345688909293,4.437615762744362
4850,0.4453321471957283,7.011625476802423,0.4010281182933916,6.265078206162485
4860,0.7539075939482035,5.441250156618889,0.7515347996257974,4.1720955571487
4870,0.7065639207837031,7.034149381932579,0.6557275698705771,5.010070346660153
5901,0.6136507895167939,13.1148951608245,0.5778095314705196,7.869141239895052
5908,0.7599689772213993,14.42577450291062,0.5585750303140006,7.662407017211002
