Year,SumPcpn,SumEGDD_C,SumHeatD,SumFrostD,AvgSI,AvgPrcnAWHC,NDVI,Yield,Area
1987_18_20,2.875,59.47447916666666,0.10416666666666667,1.375,0.6515178571428574,0.6952232142857143,0.231825761484667,32.9,552000.0
1987_19_21,2.0854166666666667,44.73541666666666,0.08333333333333333,2.8645833333333335,0.6378125,0.6531994047619046,0.266497904503333,32.9,552000.0
1987_20_22,6.29375,39.645833333333336,0.0,2.4583333333333335,0.6078869047619047,0.6261607142857141,0.295989834804333,32.9,552000.0
1987_21_23,5.075,45.77916666666667,0.041666666666666664,2.0208333333333335,0.6136458333333331,0.594330357142857,0.322571864675333,32.9,552000.0
1987_22_24,4.915625,69.61041666666667,0.4270833333333333,0.15625,0.5841517857142854,0.554077380952381,0.34735660104099997,32.9,552000.0
1987_23_25,9.971874999999999,79.29791666666667,0.4375,0.13541666666666666,0.4649851190476187,0.5133928571428573,0.37575422041166706,32.9,552000.0
1987_24_26,12.110416666666666,79.93489583333333,0.4166666666666667,0.07291666666666667,0.330252976190476,0.45986607142857167,0.4074321747,32.9,552000.0
1987_25_27,20.378125,75.265625,0.20833333333333334,0.07291666666666667,0.25068452380952366,0.41584821428571433,0.43850088707833296,32.9,552000.0
1987_26_28,14.990625000000001,67.20156250000001,0.19791666666666666,0.15625,0.23205357142857133,0.37498511904761894,0.46627711925766707,32.9,552000.0
1987_27_29,30.0125,64.20625,0.375,0.08333333333333333,0.21825892857142834,0.36077380952380933,0.4925389499886671,32.9,552000.0
1987_28_30,31.28333333333333,64.3859375,0.20833333333333334,0.08333333333333333,0.14287202380952363,0.4222470238095237,0.514768083277,32.9,552000.0
1987_29_31,28.853125000000002,78.84322916666666,0.9791666666666666,0.0,0.10486607142857134,0.43459821428571405,0.517947906766333,32.9,552000.0
1987_30_32,14.817708333333334,83.5234375,0.8125,0.0,0.08790178571428568,0.41569940476190476,0.49273846345333294,32.9,552000.0
1987_31_33,21.665625000000002,69.00260416666667,0.8020833333333334,0.2916666666666667,0.11202380952380937,0.37550595238095236,0.42878742701966704,32.9,552000.0
1987_32_34,24.509375000000002,50.89947916666667,0.03125,0.53125,0.12029761904761889,0.38501488095238107,0.3622273546053329,32.9,552000.0
1987_33_35,24.671875,44.946875,0.0,0.6770833333333334,0.12430059523809522,0.4228125,0.31592057026500003,32.9,552000.0
1987_34_36,13.137499999999998,56.6796875,0.13541666666666666,0.3958333333333333,0.1831547619047619,0.40962797619047636,0.324399207965667,32.9,552000.0
1987_35_37,8.930208333333333,61.63385416666667,0.13541666666666666,0.34375,0.29864583333333333,0.38188988095238097,0.349023367277667,32.9,552000.0
1987_36_38,5.4375,57.8421875,0.13541666666666666,1.2291666666666667,0.44947916666666665,0.34197916666666667,0.36499768499666707,32.9,552000.0
1988_18_20,4.130208333333333,45.16354166666667,0.10416666666666667,2.2604166666666665,0.7340178571428573,0.41010416666666666,0.227341812627333,25.4,590000.0
1988_19_21,3.170833333333333,58.561979166666674,0.10416666666666667,1.1770833333333333,0.7270535714285716,0.3784375,0.24273348042533302,25.4,590000.0
1988_20_22,7.584374999999999,55.484375,0.10416666666666667,1.0833333333333333,0.6818005952380952,0.3645535714285713,0.261694756732333,25.4,590000.0
1988_21_23,18.551041666666666,58.026562500000004,0.0,0.46875,0.596904761904762,0.4067261904761903,0.296822622765333,25.4,590000.0
1988_22_24,15.744791666666666,65.79791666666667,0.1875,0.19791666666666666,0.4704464285714287,0.43624999999999964,0.35863186014933296,25.4,590000.0
1988_23_25,11.588541666666666,80.5984375,0.6458333333333334,0.125,0.3987053571428573,0.405892857142857,0.408014688843333,25.4,590000.0
1988_24_26,8.795833333333334,86.26875,0.6458333333333334,0.041666666666666664,0.34217261904761925,0.33312499999999995,0.44073436297799995,25.4,590000.0
1988_25_27,14.4625,81.56145833333333,0.4583333333333333,0.010416666666666666,0.3258928571428573,0.28680059523809537,0.45269612355733296,25.4,590000.0
1988_26_28,16.135416666666668,72.15885416666667,0.0,0.052083333333333336,0.317544642857143,0.25866071428571435,0.47373468884366704,25.4,590000.0
1988_27_29,7.988541666666666,77.14114583333333,0.875,0.08333333333333333,0.405967261904762,0.20171130952380967,0.4891600226293329,25.4,590000.0
1988_28_30,6.3968750000000005,87.05416666666667,1.7291666666666667,0.07291666666666667,0.5735863095238095,0.12875000000000014,0.49051004978466706,25.4,590000.0
1988_29_31,15.388541666666667,84.7671875,1.75,0.052083333333333336,0.5565029761904762,0.1535119047619048,0.4734930979856671,25.4,590000.0
1988_30_32,18.742708333333336,81.38697916666666,0.9375,0.020833333333333332,0.4773511904761906,0.1897023809523808,0.451755114279,25.4,590000.0
1988_31_33,23.395833333333332,71.5359375,0.08333333333333333,0.020833333333333332,0.36093749999999997,0.24580357142857134,0.43320753564133296,25.4,590000.0
1988_32_34,13.228125,76.39114583333333,0.17708333333333334,0.010416666666666666,0.43119047619047635,0.23763392857142865,0.42355891151833297,25.4,590000.0
1988_33_35,9.930208333333333,77.3046875,0.71875,0.09375,0.530327380952381,0.228452380952381,0.404996390586,25.4,590000.0
1988_34_36,4.4125000000000005,70.99583333333334,1.0208333333333333,0.8854166666666666,0.6412351190476193,0.20587797619047632,0.374917377234667,25.4,590000.0
1988_35_37,7.938541666666666,58.84322916666667,0.90625,1.7604166666666667,0.7093601190476194,0.19775297619047635,0.335144258882,25.4,590000.0
1988_36_38,12.873958333333333,34.86354166666667,0.3020833333333333,3.4791666666666665,0.7133482142857147,0.23845238095238133,0.298450975333667,25.4,590000.0
1989_18_20,5.1156250000000005,36.53072916666667,0.0,2.84375,0.6227976190476189,0.6394791666666667,0.22392942068333302,32.6,606000.0
1989_19_21,13.678125,27.96822916666667,0.0,3.6041666666666665,0.6220386904761906,0.6276339285714286,0.24767755148200002,32.6,606000.0
1989_20_22,14.88125,31.071875000000002,0.0,3.3645833333333335,0.5855505952380953,0.645639880952381,0.26707625254566697,32.6,606000.0
1989_21_23,26.832291666666663,44.38489583333333,0.03125,2.6041666666666665,0.5413690476190476,0.6754910714285716,0.29022697669166697,32.6,606000.0
1989_22_24,18.323958333333334,62.83906249999999,0.03125,0.6770833333333334,0.4913988095238093,0.6990178571428572,0.33152344648133303,32.6,606000.0
1989_23_25,23.063541666666666,61.740625,0.03125,0.17708333333333334,0.42002976190476166,0.6933630952380954,0.385299248699,32.6,606000.0
1989_24_26,12.13125,60.5171875,0.0,0.20833333333333334,0.33181547619047597,0.6747321428571427,0.44230329938900004,32.6,606000.0
1989_25_27,10.721875000000002,62.59843750000001,0.14583333333333334,0.25,0.29291666666666666,0.6043749999999997,0.48984824620966705,32.6,606000.0
1989_26_28,14.679166666666665,73.32708333333333,0.14583333333333334,0.10416666666666667,0.26462797619047634,0.5594196428571426,0.5305705883683329,32.6,606000.0
1989_27_29,14.591666666666667,81.7609375,0.5520833333333334,0.07291666666666667,0.24133928571428598,0.49495535714285693,0.5532029463679999,32.6,606000.0
1989_28_30,15.094791666666666,89.91354166666667,0.7395833333333334,0.0,0.22772321428571432,0.4363690476190476,0.551352192803667,32.6,606000.0
1989_29_31,6.751041666666667,93.85208333333333,0.96875,0.0,0.27441964285714265,0.34245535714285696,0.523948128536,32.6,606000.0
1989_30_32,7.157291666666667,94.34479166666665,0.78125,0.0,0.36098214285714264,0.26058035714285704,0.4826307513013329,32.6,606000.0
1989_31_33,11.203125,85.42083333333333,0.4583333333333333,0.010416666666666666,0.39772321428571433,0.219970238095238,0.4375641887306671,32.6,606000.0
1989_32_34,19.551041666666666,74.23229166666665,0.22916666666666666,0.010416666666666666,0.40077380952380964,0.21574404761904767,0.39575712830966703,32.6,606000.0
1989_33_35,24.379166666666666,57.479687500000004,0.010416666666666666,0.052083333333333336,0.34163690476190506,0.2734375,0.36279713283566706,32.6,606000.0
1989_34_36,24.15625,43.07916666666667,0.0,0.6979166666666666,0.32047619047619064,0.3523065476190473,0.338509941163333,32.6,606000.0
1989_35_37,15.894791666666668,38.285937499999996,0.0,1.4583333333333333,0.4015625000000003,0.41395833333333304,0.314308042543667,32.6,606000.0
1989_36_38,9.136458333333332,36.8578125,0.0,2.3541666666666665,0.5173958333333336,0.43846726190476176,0.291863790450333,32.6,606000.0
1990_18_20,11.819791666666667,16.754687500000003,0.0,5.427083333333333,0.5740327380952381,0.731517857142857,0.22277532020833302,36.3,620600.0
1990_19_21,26.21666666666667,18.825000000000003,0.0,4.5625,0.5547916666666665,0.7592410714285713,0.23872187372733303,36.3,620600.0
1990_20_22,34.893750000000004,31.403645833333332,0.0,2.4479166666666665,0.5252827380952381,0.810014880952381,0.265353541525667,36.3,620600.0
1990_21_23,32.271875,43.43697916666667,0.0,0.5,0.5097767857142858,0.8469345238095239,0.305556159765,36.3,620600.0
1990_22_24,24.667708333333337,42.572916666666664,0.0,0.375,0.4773809523809523,0.859404761904762,0.35615759900433297,36.3,620600.0
1990_23_25,12.9625,53.77760416666666,0.010416666666666666,0.25,0.4358035714285713,0.8239732142857145,0.407357510749,36.3,620600.0
1990_24_26,11.809375000000001,66.453125,0.19791666666666666,0.23958333333333334,0.3889434523809523,0.7642708333333333,0.45546855397133296,36.3,620600.0
1990_25_27,12.672916666666666,74.39010416666667,0.19791666666666666,0.020833333333333332,0.378154761904762,0.6977083333333334,0.500316752659,36.3,620600.0
1990_26_28,10.454166666666666,82.47864583333335,0.4791666666666667,0.010416666666666666,0.34260416666666665,0.6290029761904761,0.533764738628667,36.3,620600.0
1990_27_29,13.746875000000001,73.753125,0.2916666666666667,0.03125,0.2804166666666667,0.5706249999999997,0.556363428377667,36.3,620600.0
1990_28_30,15.123958333333334,80.63020833333333,0.2916666666666667,0.020833333333333332,0.20610119047619033,0.524910714285714,0.5686156008150001,36.3,620600.0
1990_29_31,18.526041666666668,76.74166666666667,0.16666666666666666,0.020833333333333332,0.180282738095238,0.48699404761904735,0.5735649174023331,36.3,620600.0
1990_30_32,13.983333333333333,90.046875,0.75,0.0,0.21275297619047598,0.43516369047619036,0.561474627744,36.3,620600.0
1990_31_33,12.816666666666665,93.375,0.9895833333333334,0.0,0.2607589285714286,0.3675,0.5232786693823329,36.3,620600.0
1990_32_34,13.614583333333334,83.49479166666667,0.8229166666666666,0.0,0.28279761904761896,0.32672619047619067,0.478918615071333,36.3,620600.0
1990_33_35,13.496875000000001,72.59270833333333,0.23958333333333334,0.07291666666666667,0.29797619047619034,0.3101190476190477,0.4390303258656671,36.3,620600.0
1990_34_36,4.736458333333333,67.6984375,0.14583333333333334,0.16666666666666666,0.34583333333333305,0.27639880952380935,0.412763856076,36.3,620600.0
1990_35_37,2.3760416666666666,71.059375,0.16666666666666666,0.3854166666666667,0.43409226190476174,0.22379464285714268,0.38654414573433293,36.3,620600.0
1990_36_38,2.447916666666667,65.84375,0.28125,0.9375,0.516577380952381,0.17547619047619034,0.357988624123,36.3,620600.0
1991_18_20,20.439583333333335,24.624479166666664,0.0,3.6354166666666665,0.6058333333333333,0.6913095238095237,0.210548610545667,35.5,652700.0
1991_19_21,23.603125000000002,35.571875,0.0,1.6770833333333333,0.581860119047619,0.7438541666666666,0.24569263860633303,35.5,652700.0
1991_20_22,13.973958333333334,43.611979166666664,0.0,1.0520833333333333,0.5555357142857144,0.7886755952380954,0.286856324960667,35.5,652700.0
1991_21_23,11.182291666666666,46.34843750000001,0.0,0.96875,0.565699404761905,0.7770238095238097,0.33288472505100003,35.5,652700.0
1991_22_24,8.013541666666667,50.5859375,0.0,0.8645833333333334,0.5588988095238097,0.752514880952381,0.37400007920333295,35.5,652700.0
1991_23_25,32.93333333333333,47.48229166666666,0.0,0.53125,0.5256398809523809,0.7677529761904763,0.412782575243,35.5,652700.0
1991_24_26,40.865624999999994,49.88072916666666,0.0,0.3645833333333333,0.4613095238095237,0.8198511904761906,0.45087482914666704,35.5,652700.0
1991_25_27,40.54791666666666,58.603125,0.03125,0.13541666666666666,0.37547619047619035,0.8503273809523813,0.506467635211333,35.5,652700.0
1991_26_28,19.161458333333332,70.85104166666667,0.052083333333333336,0.052083333333333336,0.2755208333333334,0.8259077380952382,0.558578406879333,35.5,652700.0
1991_27_29,7.784375,75.36093749999999,0.052083333333333336,0.041666666666666664,0.2032886904761907,0.7269196428571431,0.5943036410953331,35.5,652700.0
1991_28_30,6.072916666666667,78.18906249999999,0.041666666666666664,0.0,0.19998511904761931,0.6083779761904763,0.597721289884667,35.5,652700.0
1991_29_31,4.283333333333334,76.77187500000001,0.041666666666666664,0.0,0.2332589285714287,0.4839285714285717,0.582335216112333,35.5,652700.0
1991_30_32,10.648958333333335,86.11927083333335,0.9166666666666666,0.0,0.270252976190476,0.38485119047619065,0.551846705137,35.5,652700.0
1991_31_33,16.692708333333332,86.49062499999998,1.09375,0.0,0.22245535714285702,0.363184523809524,0.507405417515667,35.5,652700.0
1991_32_34,14.811458333333334,92.18697916666667,1.3125,0.0,0.20055059523809501,0.329389880952381,0.460100472958,35.5,652700.0
1991_33_35,8.016666666666667,88.02239583333333,0.9895833333333334,0.020833333333333332,0.2358184523809523,0.28885416666666663,0.41590128083300004,35.5,652700.0
1991_34_36,3.725,78.00625000000001,0.7916666666666666,0.6458333333333334,0.39398809523809497,0.20084821428571398,0.38237071961999997,35.5,652700.0
1991_35_37,5.680208333333333,62.239583333333336,0.5520833333333334,1.46875,0.493392857142857,0.159657738095238,0.349375322471333,35.5,652700.0
1991_36_38,9.047916666666667,41.92239583333333,0.0,2.5416666666666665,0.5924404761904761,0.16119047619047633,0.318413102512,35.5,652700.0
1992_18_20,4.805208333333334,39.904687499999994,0.052083333333333336,3.0208333333333335,0.735193452380952,0.3792708333333333,0.20054672097800003,24.8,515000.0
1992_19_21,9.135416666666666,31.33802083333333,0.052083333333333336,3.7291666666666665,0.6788690476190474,0.3876636904761903,0.224232930527667,24.8,515000.0
1992_20_22,11.555208333333333,29.186979166666664,0.0,3.78125,0.6056547619047616,0.40584821428571427,0.246532849061,24.8,515000.0
1992_21_23,11.348958333333334,41.36510416666667,0.041666666666666664,2.2604166666666665,0.5577678571428569,0.41125000000000006,0.26529283548300003,24.8,515000.0
1992_22_24,34.03854166666667,54.32708333333333,0.19791666666666666,1.0104166666666667,0.5358184523809525,0.43473214285714296,0.284399785019,24.8,515000.0
1992_23_25,33.219791666666666,62.76354166666666,0.19791666666666666,0.5416666666666666,0.41212797619047636,0.5156994047619047,0.313826696085,24.8,515000.0
1992_24_26,36.630208333333336,75.72083333333333,0.4270833333333333,0.020833333333333332,0.2898958333333337,0.5576041666666667,0.35775107942966705,24.8,515000.0
1992_25_27,28.410416666666666,68.15677083333333,0.2708333333333333,0.07291666666666667,0.16491071428571466,0.6290625,0.4071508893413329,24.8,515000.0
1992_26_28,38.864583333333336,61.7796875,0.2708333333333333,0.07291666666666667,0.13680059523809565,0.658154761904762,0.456463489477,24.8,515000.0
1992_27_29,35.385416666666664,52.25,0.0,0.16666666666666666,0.09328869047619076,0.6978720238095236,0.5064138243946671,24.8,515000.0
1992_28_30,23.003125,61.765625,0.0,0.10416666666666667,0.06961309523809539,0.6544791666666664,0.5451658565286671,24.8,515000.0
1992_29_31,18.565625,70.46145833333334,0.0,0.09375,0.055208333333333366,0.5843452380952378,0.567517225616667,24.8,515000.0
1992_30_32,18.786458333333332,74.95572916666667,0.0,0.0,0.0482886904761905,0.5408779761904761,0.569770006788667,24.8,515000.0
1992_31_33,12.288541666666665,80.4953125,0.375,0.041666666666666664,0.06818452380952388,0.47001488095238114,0.569294641321333,24.8,515000.0
