Year,SumPcpn,SumEGDD_C,SumHeatD,SumFrostD,AvgSI,AvgPrcnAWHC,NDVI,Yield,Area
1987_18_20,3.125,58.84583333333333,0.3333333333333333,1.4166666666666667,0.6895238095238098,0.3189285714285713,0.159104307615333,27.2,1081581.0
1987_19_21,1.4416666666666667,53.05416666666667,0.3333333333333333,1.75,0.6745238095238096,0.283452380952381,0.194469987927,27.2,1081581.0
1987_20_22,8.416666666666666,58.262499999999996,0.3333333333333333,1.5833333333333333,0.644404761904762,0.26523809523809533,0.223456158454667,27.2,1081581.0
1987_21_23,8.924999999999999,61.895833333333336,0.0,0.75,0.6016666666666667,0.254642857142857,0.251289970158667,27.2,1081581.0
1987_22_24,10.458333333333334,82.01666666666667,0.6666666666666666,0.0,0.5123809523809523,0.23142857142857134,0.294681197749333,27.2,1081581.0
1987_23_25,8.450000000000001,94.42916666666667,1.5,0.0,0.46404761904761904,0.17892857142857135,0.3612274038133329,27.2,1081581.0
1987_24_26,10.691666666666668,99.93333333333334,1.5,0.0,0.459642857142857,0.1216666666666667,0.42001471787533295,27.2,1081581.0
1987_25_27,21.958333333333332,94.97500000000001,0.9166666666666666,0.0,0.46916666666666673,0.11238095238095237,0.46176644570500003,27.2,1081581.0
1987_26_28,22.083333333333332,80.22916666666667,0.08333333333333333,0.0,0.4254761904761906,0.14559523809523803,0.47843987334566707,27.2,1081581.0
1987_27_29,27.95,77.60416666666667,0.08333333333333333,0.0,0.392261904761905,0.18178571428571433,0.494786623841,27.2,1081581.0
1987_28_30,17.45,80.14583333333333,0.16666666666666666,0.0,0.35773809523809535,0.205952380952381,0.5082879199983329,27.2,1081581.0
1987_29_31,19.633333333333333,95.45,0.9166666666666666,0.0,0.3825,0.19297619047619066,0.50421998451,27.2,1081581.0
1987_30_32,14.258333333333333,95.96666666666665,0.9166666666666666,0.0,0.382857142857143,0.19321428571428567,0.47562058589033296,27.2,1081581.0
1987_31_33,21.816666666666666,82.31666666666666,0.75,0.0,0.47619047619047633,0.21511904761904765,0.42005161393166707,27.2,1081581.0
1987_32_34,17.608333333333334,61.020833333333336,0.0,0.0,0.5378571428571429,0.268095238095238,0.36793964327166706,27.2,1081581.0
