Year,SumPcpn,SumEGDD_C,SumHeatD,SumFrostD,AvgSI,AvgPrcnAWHC,NDVI,Yield,Area
1987_18_20,1.86,61.25666666666666,0.7333333333333334,1.0666666666666667,0.6834285714285716,0.5396190476190476,0.15996480377366698,28.6,1047283.0
1987_19_21,1.9600000000000002,57.446666666666665,0.6666666666666666,1.0666666666666667,0.6654285714285716,0.49685714285714266,0.19906595118866702,28.6,1047283.0
1987_20_22,13.413333333333334,61.580000000000005,0.39999999999999997,1.0666666666666667,0.6331428571428573,0.4819047619047616,0.23969437687166698,28.6,1047283.0
1987_21_23,15.520000000000001,62.196666666666665,0.3333333333333333,0.7333333333333334,0.5320952380952383,0.5044761904761903,0.27412065082,28.6,1047283.0
1987_22_24,16.513333333333332,79.78333333333335,1.1333333333333333,0.13333333333333333,0.381809523809524,0.49457142857142866,0.31250261282033304,28.6,1047283.0
1987_23_25,10.586666666666666,93.06,2.0666666666666664,0.13333333333333333,0.2770476190476194,0.43228571428571466,0.36262446670366705,28.6,1047283.0
1987_24_26,19.426666666666666,96.36000000000001,1.7999999999999998,0.0,0.2341904761904763,0.3540952380952383,0.4095309749053329,28.6,1047283.0
1987_25_27,25.146666666666665,95.36000000000001,1.0,0.0,0.20819047619047634,0.3260952380952384,0.443970691894,28.6,1047283.0
1987_26_28,28.426666666666666,80.49666666666667,0.06666666666666667,0.0,0.15933333333333333,0.3457142857142857,0.46091907411833294,28.6,1047283.0
1987_27_29,26.593333333333334,81.19666666666666,0.19999999999999998,0.0,0.14133333333333334,0.34933333333333333,0.476326708535333,28.6,1047283.0
1987_28_30,20.26,80.30666666666667,0.3333333333333333,0.0,0.14228571428571432,0.3408571428571427,0.493019771046667,28.6,1047283.0
1987_29_31,17.686666666666667,94.75333333333333,1.0666666666666667,0.0,0.17219047619047634,0.290190476190476,0.496469759122,28.6,1047283.0
1987_30_32,10.006666666666666,96.36,0.8666666666666667,0.0,0.25904761904761936,0.23209523809523802,0.4779854837426671,28.6,1047283.0
1987_31_33,12.86,92.17999999999999,0.8666666666666667,0.0,0.4273333333333336,0.18942857142857136,0.4333403874183329,28.6,1047283.0
1987_32_34,7.866666666666667,72.25,0.13333333333333333,0.39999999999999997,0.5949523809523815,0.17895238095238097,0.38930311630533293,28.6,1047283.0
